file,event_id,station,network,location,channel_used,instrument_type_used,pga_g,pgv_cms,snr_db,p_pick_time,s_pick_time,p_pick_confidence,s_pick_confidence,sampling_rate_hz,duration_sec,num_gaps,gap_fraction,is_clipped,has_three_components,response_removed_ok,usable_for_engineering,usable_for_phase_picking,qc_flags,sa_g_0_1s,sa_g_0_2s,sa_g_0_5s,sa_g_1_0s,sa_g_2_0s,arias_intensity_ms,cav_ms,duration_5_95_sec,fas_dominant_freq_hz,fas_mean_freq_hz
data/processed/waveforms/us100085uc_GADA.mseed,us100085uc,GADA,KO,,BHE,broadband,0.00054,0.0201,9.18,2017-02-28T23:27:48.180000Z,,0.178,,50.0,209.98,0,0.0,False,True,True,False,True,,0.0013,0.00134,0.00036,0.00024,7e-05,3e-06,0.0238,28.34,4.986,8.631
data/processed/waveforms/us100085uc_GPNR.mseed,us100085uc,GPNR,KO,,HNE,strong_motion,0.12208,6.2326,,,,,,100.0,152.22,0,0.0,False,True,True,True,False,,0.23793,0.2262,0.08038,0.01211,0.00199,0.032076,0.8809,1.77,2.711,8.708
data/processed/waveforms/us100086gw_DARE.mseed,us100086gw,DARE,KO,,BHE,broadband,0.00093,0.1517,21.18,2017-03-02T11:07:50.100000Z,2017-03-02T11:08:06.220000Z,0.53,0.425,50.0,210.0,0,0.0,False,True,True,False,True,,0.00118,0.00144,0.00188,0.0014,0.00063,1.4e-05,0.0562,34.8,0.881,4.289
data/processed/waveforms/us100086gw_DYBB.mseed,us100086gw,DYBB,KO,,BHN,broadband,0.0029,0.2886,36.46,2017-03-02T11:07:50.940000Z,2017-03-02T11:08:09.920000Z,0.53,0.389,50.0,135.88,1,0.0736,False,True,True,False,False,has_gaps,0.00491,0.00646,0.00483,0.00483,0.00299,0.000193,0.2405,48.1,0.552,4.576
data/processed/waveforms/us100086gw_GAZ.mseed,us100086gw,GAZ,KO,,BHE,broadband,0.00359,0.2736,23.33,2017-03-02T11:07:46.860000Z,2017-03-02T11:08:01.980000Z,0.538,0.311,50.0,210.0,0,0.0,False,True,True,False,True,,0.01039,0.00661,0.00491,0.00381,0.00154,0.000174,0.192,26.42,1.381,6.171
data/processed/waveforms/us100086gw_URFA.mseed,us100086gw,URFA,KO,,BHE,broadband,0.02698,1.8899,13.35,2017-03-02T11:07:34.600000Z,,0.383,,50.0,180.0,0,0.0,False,True,True,False,True,,0.02823,0.02489,0.01292,0.00735,0.00329,0.004016,0.6688,27.86,14.793,10.835
data/processed/waveforms/us10008d42_BASM.mseed,us10008d42,BASM,KO,,HNE,strong_motion,0.00015,0.0161,0.78,2017-03-29T18:11:19.090000Z,,0.013,,100.0,210.0,0,0.0,False,True,True,True,True,,0.00022,0.00035,0.00032,0.00018,3e-05,1e-06,0.0243,167.18,49.302,17.273
data/processed/waveforms/us10008d42_BCK.mseed,us10008d42,BCK,KO,,BHE,broadband,9e-05,0.0082,1.97,2017-03-29T18:11:19.100000Z,,0.068,,50.0,210.0,0,0.0,False,True,True,False,True,,0.0001,0.00017,0.00027,0.00012,1e-05,0.0,0.0055,23.6,2.547,5.495
data/processed/waveforms/us10008d42_SEYD.mseed,us10008d42,SEYD,KO,,HNE,strong_motion,9e-05,0.0193,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.00011,0.00022,0.00017,5e-05,1e-05,1e-06,0.0207,173.03,49.269,24.252
data/processed/waveforms/us10008d42_SHUT.mseed,us10008d42,SHUT,KO,,BHE,broadband,0.00022,0.0176,9.96,2017-03-29T18:10:55.720000Z,2017-03-29T18:10:57.280000Z,0.172,0.394,50.0,210.0,0,0.0,False,True,True,False,True,,0.00048,0.00062,0.00063,0.0002,0.00011,1e-06,0.0119,22.26,1.786,4.785
