event_id,station,phase_type,phase_hint,pick_time,source,fetched_at
us6000jmat,KMRS,P,Pg,2023-02-07T18:10:11.550000Z,isc_analyst,2026-09-13T08:59:54.785334+00:00
us6000jmat,KMRS,S,Sg,2023-02-07T18:10:20.010000Z,isc_analyst,2026-09-13T08:59:54.785357+00:00
us6000jmat,SARI,P,Pg,2023-02-07T18:10:06.760000Z,isc_analyst,2026-09-13T08:59:54.785362+00:00
us6000jmat,SARI,S,Sg,2023-02-07T18:10:12.080000Z,isc_analyst,2026-09-13T08:59:54.785367+00:00
us6000jmbq,GURO,P,Pn,2023-02-07T19:54:52.700000Z,isc_analyst,2026-09-13T08:59:58.673626+00:00
us6000jmbq,GURO,S,Sn,2023-02-07T19:55:13.590000Z,isc_analyst,2026-09-13T08:59:58.673646+00:00
us6000jmc7,GAZ,S,Sg,2023-02-07T21:21:52.110000Z,isc_analyst,2026-09-13T09:00:03.284657+00:00
us6000jmc7,GAZ,P,Pg,2023-02-07T21:21:40.490000Z,isc_analyst,2026-09-13T09:00:03.284675+00:00
us6000jmc7,KMRS,P,Pg,2023-02-07T21:21:38.130000Z,isc_analyst,2026-09-13T09:00:03.284681+00:00
us6000jmc7,KMRS,S,Sg,2023-02-07T21:21:47.100000Z,isc_analyst,2026-09-13T09:00:03.284685+00:00
us6000jmg1,KMRS,P,Pg,2023-02-08T07:48:43.680000Z,isc_analyst,2026-09-13T09:00:15.361867+00:00
us6000jmg1,SARI,P,Pg,2023-02-08T07:48:39.010000Z,isc_analyst,2026-09-13T09:00:15.361884+00:00
us6000jmgf,KMRS,P,Pg,2023-02-08T11:12:06.510000Z,isc_analyst,2026-09-13T09:00:21.147212+00:00
us6000jmgg,KMRS,P,Pg,2023-02-08T11:24:14.490000Z,isc_analyst,2026-09-13T09:00:24.170185+00:00
us6000jmh3,GAZ,S,Sg,2023-02-08T14:20:52.380000Z,isc_analyst,2026-09-13T09:00:28.768450+00:00
us6000jmh3,KMRS,P,Pg,2023-02-08T14:20:37.410000Z,isc_analyst,2026-09-13T09:00:28.768466+00:00
us6000jmh3,GAZ,P,Pg,2023-02-08T14:20:41.340000Z,isc_analyst,2026-09-13T09:00:28.768472+00:00
us6000jmk0,KMRS,P,Pg,2023-02-08T19:05:30.080000Z,isc_analyst,2026-09-13T09:00:30.862123+00:00
us6000jmk0,SARI,P,Pg,2023-02-08T19:05:25.910000Z,isc_analyst,2026-09-13T09:00:30.862142+00:00
us6000jmkh,URFA,P,Pg,2023-02-08T20:12:24.070000Z,isc_analyst,2026-09-13T09:00:33.140491+00:00
us6000jmn0,URFA,P,Pn,2023-02-06T02:06:40.380000Z,isc_analyst,2026-09-13T09:00:38.964422+00:00
us6000jmn0,URFA,S,Sg,2023-02-06T02:06:49.520000Z,isc_analyst,2026-09-13T09:00:38.964436+00:00
us6000jmnp,GAZ,P,Pg,2023-02-09T07:18:26.490000Z,isc_analyst,2026-09-13T09:00:42.744418+00:00
us6000jmnp,GAZ,S,Sg,2023-02-09T07:18:33.340000Z,isc_analyst,2026-09-13T09:00:42.744434+00:00
us6000jmnp,KMRS,P,Pg,2023-02-09T07:18:27.460000Z,isc_analyst,2026-09-13T09:00:42.744439+00:00
us6000jn0h,URFA,S,Sg,2023-02-10T04:50:54.080000Z,isc_analyst,2026-09-13T09:00:48.800879+00:00
us6000jn0h,URFA,P,Pg,2023-02-10T04:50:41.510000Z,isc_analyst,2026-09-13T09:00:48.800895+00:00
us6000jn4r,KMRS,P,Pg,2023-02-10T17:01:03.160000Z,isc_analyst,2026-09-13T09:00:53.008094+00:00
us6000jn4r,KMRS,S,Sg,2023-02-10T17:01:12.200000Z,isc_analyst,2026-09-13T09:00:53.008110+00:00
us6000jn4r,SARI,P,Pg,2023-02-10T17:00:59.350000Z,isc_analyst,2026-09-13T09:00:53.008116+00:00
us6000jn4r,SARI,S,Sg,2023-02-10T17:01:07.170000Z,isc_analyst,2026-09-13T09:00:53.008121+00:00
us6000jn97,SARI,P,Pg,2023-02-11T06:28:19.910000Z,isc_analyst,2026-09-13T09:00:55.658025+00:00
us6000jn97,KMRS,P,Pg,2023-02-11T06:28:24.860000Z,isc_analyst,2026-09-13T09:00:55.658039+00:00
us6000jn97,SARI,S,Sg,2023-02-11T06:28:25.420000Z,isc_analyst,2026-09-13T09:00:55.658045+00:00
us6000jn97,KMRS,S,Sg,2023-02-11T06:28:33.670000Z,isc_analyst,2026-09-13T09:00:55.658049+00:00
us6000jn9a,GAZ,P,Pg,2023-02-11T07:55:46.870000Z,isc_analyst,2026-09-13T09:00:59.090431+00:00
us6000jn9a,GAZ,S,Sg,2023-02-11T07:55:50.790000Z,isc_analyst,2026-09-13T09:00:59.090446+00:00
us6000jnh1,GAZ,S,Sg,2023-02-12T18:33:25.290000Z,isc_analyst,2026-09-13T09:01:12.547026+00:00
us6000jnh1,GAZ,P,Pg,2023-02-12T18:33:20.770000Z,isc_analyst,2026-09-13T09:01:12.547046+00:00
us6000jnh1,KMRS,P,Pg,2023-02-12T18:33:17.870000Z,isc_analyst,2026-09-13T09:01:12.547052+00:00
us6000jnh1,KMRS,S,Sg,2023-02-12T18:33:20.030000Z,isc_analyst,2026-09-13T09:01:12.547057+00:00
us6000jnks,KMRS,P,Pg,2023-02-13T11:59:29.580000Z,isc_analyst,2026-09-13T09:01:16.383624+00:00
us6000jnks,KMRS,S,Sg,2023-02-13T11:59:38.580000Z,isc_analyst,2026-09-13T09:01:16.383640+00:00
us6000jnks,GAZ,S,Sg,2023-02-13T11:59:36.030000Z,isc_analyst,2026-09-13T09:01:16.383645+00:00
us6000jnks,GAZ,P,Pg,2023-02-13T11:59:28.230000Z,isc_analyst,2026-09-13T09:01:16.383650+00:00
us6000jnr6,GAZ,P,Pg,2023-02-06T01:51:32.000000Z,isc_analyst,2026-09-13T09:01:26.638951+00:00
us6000jnr6,GAZ,S,Sg,2023-02-06T01:51:38.510000Z,isc_analyst,2026-09-13T09:01:26.638966+00:00
us6000jns2,URFA,P,Pg,2023-02-06T05:33:27.100000Z,isc_analyst,2026-09-13T09:01:32.611249+00:00
us6000jns2,URFA,S,Sg,2023-02-06T05:33:37.310000Z,isc_analyst,2026-09-13T09:01:32.611265+00:00
us6000jns9,URFA,P,Pg,2023-02-06T01:48:26.780000Z,isc_analyst,2026-09-13T09:01:36.415246+00:00
us6000jns9,URFA,S,Sg,2023-02-06T01:48:39.350000Z,isc_analyst,2026-09-13T09:01:36.415262+00:00
us6000jnsi,GAZ,P,Pg,2023-02-06T02:32:17.400000Z,isc_analyst,2026-09-13T09:01:47.023287+00:00
us6000jnsi,KMRS,P,Pg,2023-02-06T02:32:12.930000Z,isc_analyst,2026-09-13T09:01:47.023304+00:00
us6000jnsi,KMRS,S,Sg,2023-02-06T02:32:18.060000Z,isc_analyst,2026-09-13T09:01:47.023310+00:00
us6000jnsi,GAZ,S,Sg,2023-02-06T02:32:22.860000Z,isc_analyst,2026-09-13T09:01:47.023316+00:00
us6000jnsj,GAZ,P,Pg,2023-02-06T02:34:56.410000Z,isc_analyst,2026-09-13T09:01:50.049490+00:00
us6000jnsj,GAZ,S,Sg,2023-02-06T02:34:59.090000Z,isc_analyst,2026-09-13T09:01:50.049505+00:00
us6000jnss,URFA,P,Pn,2023-02-06T05:40:53.680000Z,isc_analyst,2026-09-13T09:01:52.363456+00:00
us6000jnt0,SARI,P,Pg,2023-02-06T10:32:20.350000Z,isc_analyst,2026-09-13T09:01:54.833163+00:00
us6000jnt0,SARI,S,Sg,2023-02-06T10:32:32.540000Z,isc_analyst,2026-09-13T09:01:54.833176+00:00
