network,station,location,channel,instrument_type,latitude,longitude,sample_rate_hz,start_date,end_date
KO,BCA,,BHZ,broadband,41.445,41.6223,50.0,2006-05-24T16:00:00.000000Z,2022-11-28T08:00:00.000000Z
KO,BCA,,HHE,broadband,41.445,41.6223,100.0,2022-11-28T08:00:00.000000Z,
KO,BCA,,HHN,broadband,41.445,41.6223,100.0,2022-11-28T08:00:00.000000Z,
KO,BCA,,HHZ,broadband,41.445,41.6223,100.0,2022-11-28T08:00:00.000000Z,
KO,DYBB,,BHE,broadband,37.9532,40.1393,50.0,2009-12-10T00:00:00.000000Z,2022-11-28T08:40:00.000000Z
KO,DYBB,,BHN,broadband,37.9532,40.1393,50.0,2009-12-10T00:00:00.000000Z,2022-11-28T08:40:00.000000Z
KO,DYBB,,BHZ,broadband,37.9532,40.1393,50.0,2009-12-10T00:00:00.000000Z,2022-11-28T08:40:00.000000Z
KO,DYBB,,HHE,broadband,37.9532,40.1393,100.0,2022-11-28T08:40:00.000000Z,
KO,DYBB,,HHN,broadband,37.9532,40.1393,100.0,2022-11-28T08:40:00.000000Z,
KO,DYBB,,HHZ,broadband,37.9532,40.1393,100.0,2022-11-28T08:40:00.000000Z,
KO,LMOS,,HHE,broadband,36.6021,32.6962,100.0,2022-10-04T00:00:00.000000Z,
KO,LMOS,,HHN,broadband,36.6021,32.6962,100.0,2022-10-04T00:00:00.000000Z,
KO,LMOS,,HHZ,broadband,36.6021,32.6962,100.0,2022-10-04T00:00:00.000000Z,
KO,DOGC,,HNE,strong_motion,41.3949,26.9852,100.0,2022-07-01T00:00:00.000000Z,
KO,DOGC,,HNN,strong_motion,41.3949,26.9852,100.0,2022-07-01T00:00:00.000000Z,
KO,DOGC,,HNZ,strong_motion,41.3949,26.9852,100.0,2022-07-01T00:00:00.000000Z,
KO,YESY,,BHE,broadband,37.7825,33.7431,50.0,2009-06-19T00:00:00.000000Z,2010-07-18T05:00:00.000000Z
KO,YESY,,BHN,broadband,37.7825,33.7431,50.0,2009-06-19T00:00:00.000000Z,2010-07-18T05:00:00.000000Z
KO,YESY,,BHZ,broadband,37.7825,33.7431,50.0,2009-06-19T00:00:00.000000Z,2010-07-18T05:00:00.000000Z
KO,YESY,,HHE,broadband,37.7825,33.7431,100.0,2010-07-18T05:00:00.000000Z,
KO,YESY,,HHN,broadband,37.7825,33.7431,100.0,2010-07-18T05:00:00.000000Z,
KO,YESY,,HHZ,broadband,37.7825,33.7431,100.0,2010-07-18T05:00:00.000000Z,
KO,KAVV,,HNE,strong_motion,41.0638,29.06,100.0,2009-10-27T00:00:00.000000Z,2012-09-24T11:00:00.000000Z
KO,KAVV,,HNN,strong_motion,41.0638,29.06,100.0,2009-10-27T00:00:00.000000Z,2012-09-24T11:00:00.000000Z
KO,KAVV,,HNZ,strong_motion,41.0638,29.06,100.0,2009-10-27T00:00:00.000000Z,2012-09-24T11:00:00.000000Z
KO,KAVV,,BHE,broadband,41.0638,29.06,50.0,2010-02-06T00:00:00.000000Z,2010-07-05T09:00:00.000000Z
KO,KAVV,,BHN,broadband,41.0638,29.06,50.0,2010-02-06T00:00:00.000000Z,2010-07-05T09:00:00.000000Z
KO,KAVV,,BHZ,broadband,41.0638,29.06,50.0,2010-02-06T00:00:00.000000Z,2010-07-05T09:00:00.000000Z
KO,KAVV,,HHE,broadband,41.0638,29.06,100.0,2010-07-05T09:00:00.000000Z,
KO,KAVV,,HHN,broadband,41.0638,29.06,100.0,2010-07-05T09:00:00.000000Z,
KO,KAVV,,HHZ,broadband,41.0638,29.06,100.0,2010-07-05T09:00:00.000000Z,
KO,KAVV,,HNE,strong_motion,41.0638,29.06,100.0,2012-09-24T11:00:00.000000Z,2017-07-31T11:00:00.000000Z
KO,KAVV,,HNN,strong_motion,41.0638,29.06,100.0,2012-09-24T11:00:00.000000Z,2017-07-31T11:00:00.000000Z
KO,KAVV,,HNZ,strong_motion,41.0638,29.06,100.0,2012-09-24T11:00:00.000000Z,2017-07-31T11:00:00.000000Z
KO,KAVV,,HNE,strong_motion,41.0638,29.06,100.0,2017-07-31T11:00:00.000000Z,
KO,KAVV,,HNN,strong_motion,41.0638,29.06,100.0,2017-07-31T11:00:00.000000Z,
KO,KAVV,,HNZ,strong_motion,41.0638,29.06,100.0,2017-07-31T11:00:00.000000Z,
KO,SAUV,,HHE,broadband,40.7401,30.3271,100.0,2012-02-07T00:00:00.000000Z,2016-06-14T09:43:00.000000Z
KO,SAUV,,HHN,broadband,40.7401,30.3271,100.0,2012-02-07T00:00:00.000000Z,2016-06-14T09:43:00.000000Z
