network,station,latitude,longitude,elevation,start_date,channel_codes,instrument_types,has_strong_motion,vs30_ms,nehrp_site_class
KO,BUYA,40.8694,29.1278,40.0,2012-08-07T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,395.0,C
KO,AKIN,35.0157,33.4662,225.0,2008-11-18T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,412.0,C
KO,YKBL,40.9908,28.6678,139.0,2010-08-13T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,477.0,C
KO,TAHT,36.3755,36.1855,278.0,2009-10-19T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,458.0,C
KO,LOD,39.8884,32.7634,902.0,2003-08-20T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,479.0,C
KO,GPA,40.2911,30.3171,570.0,2002-03-08T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,677.0,C
KO,GUMT,40.4665,39.478,1326.0,2002-06-28T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,738.0,C
KO,SHAP,39.0231,29.222,1050.0,2012-05-10T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,496.0,C
KO,VRTB,39.1603,41.4558,1498.0,2008-11-20T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,555.0,C
KO,ERCV,39.0198,43.3381,1679.0,2011-10-28T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,344.0,D
KO,GEDZ,39.0445,29.4105,883.0,2010-10-22T00:00:00.000000Z,"HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,468.0,C
KO,AGRB,39.5755,42.992,1820.0,2006-11-21T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,474.0,C
KO,BGKT,41.181,28.773,80.0,2007-05-29T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,413.0,C
KO,BAYT,40.3937,40.141,1680.0,2008-09-12T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,561.0,C
KO,CMRD,37.6623,34.9902,1234.0,2013-11-19T00:00:00.000000Z,"EHE,EHN,EHZ,HNE,HNN,HNZ","broadband,strong_motion",True,426.0,C
KO,SOMA,39.1564,27.5341,243.0,2018-05-03T00:00:00.000000Z,"EHE,EHN,EHZ,HNE,HNN,HNZ","broadband,strong_motion",True,798.0,B
KO,GADA,40.1908,25.8987,59.0,2006-07-06T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,451.0,C
KO,IKL,36.2366,33.6845,126.0,2000-07-06T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,684.0,C
KO,ERBG,40.712,36.6768,510.0,2020-12-12T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,766.0,B
KO,CESE,38.3306,26.2997,95.0,2011-07-23T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,410.0,C
KO,KRBN,38.5936,26.5537,135.0,2011-07-12T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,843.0,B
KO,GULT,40.432,30.5152,942.0,2007-09-15T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,505.0,C
KO,DKL,39.0713,26.9053,35.0,2010-07-22T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,304.0,D
KO,DIDI,37.3767,27.2398,75.0,2011-04-19T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,316.0,D
KO,YAYX,38.9387,33.8115,1142.0,2009-06-18T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,537.0,C
KO,KOPR,39.9917,41.8535,1675.0,2012-11-28T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,460.0,C
KO,AVCI,40.9958,28.7225,90.0,2014-01-29T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,517.0,C
KO,BBRN,36.6796,28.0587,194.0,2013-01-17T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,512.0,C
KO,SILT,41.153,29.643,100.0,2007-07-31T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,406.0,C
KO,BOTS,40.9902,27.981,30.0,2010-08-13T00:00:00.000000Z,"HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,600.0,C
KO,FETI,36.6903,29.096,24.0,2011-04-21T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,462.0,C
KO,CANM,40.0113,27.0529,180.0,2017-02-22T00:00:00.000000Z,"EHE,EHN,EHZ,HNE,HNN,HNZ","broadband,strong_motion",True,287.0,D
